IsiLaporan,kategori
jalan perum taman palem lestari ring road cengkareng parkir truk truk macet ditindaklanjuti,8
perhati hadap kali grogol rumah kena banjir alamat jalan h sajim jalan h naimun rt rw radio gandaria utara kebayoran selatan,8
tolong fokus tanggul banjir khusus gandaria city indosiar daerah hujan langsung banjir tolong penananganannya,8
jalan lintas busway lubang rusak daerah daan mogot halte pesakih bahaya,8
selamat sore warga muara pulogebang arah suruh marunda tugas pagi tindak,8
warga otista kerja daerah harmoni busway halte harmoni busway arah pgc jam tugas pemberitahuan bis ribut tugas diam,8
tolong kuras salur air jalan kalibaru timur rt bungur senen sumbat sampah sampah turun hujan genang air salur air tutup jembatan beto,8
ka sudin taman pusat jalan tanah abang jakartadengan hormatmelalui surat warga jalan pejompongan raya rencana laku ole,8
jalan jalan jembatan palmerah barat pasar buah ujung jalan pakembangan lubang rawan cela dagang beddagang sembarang tertib,8
yogi sunter keluh sampah numpuk kali sunter sunter agung perepat lampu merah nang kali sekat pagar batas sampah jeruji,8
informasi jalur utama kalimalang khusus kampus gunadarma jalan rusak parah lubang cm bahaya kendara motor genang air tolong dinas kerja,8
complain jalan pulo raya aspal beton hujan jalan banjir jalan puloraya jalan utama dil,8
warga putar jalan peta barat kalideres keluh debit air pam daerah lidi malam langgan bayar hak kuantitas air,8
jembatan penyebrangan halte karet lubang bahaya pejal kaki dinas kait menindaklanjuti,8
warga timur keluh wilayah timur kena macet stasiun jatinegara sore malam badan jalan samping jalur busway seba,8
daerah pik ijin spbu shell posisi sutet samping bangun dinas kait,8
aji warga citayam bogor armada kereta rel listrik krl ekonomi jam jam sibuk krl ekonomi penuh sesak halaman laku,8
jalan reformasi cilincing cilincing utara rusak parah jalan batu lubang aspal jalan reformasi kwk ju rute bulak turi cilincing tolong sege,8
wakil warga karet tengsin rw pintu air shangrila patah air terobos wilayah kampung selokan air betis kaki dinas pu tata air,8
tinggal cilangkap cipayung timur keluh proyek aspal jalan daerah aspal rumah rt rw aspal jalan bagus rt rw,8
tertib dagang kaki lima pasar rebo timur kanan kiri fly over sita paro jalan jaman bang yos tertib,8
jalan casablanca bangun sambung jembatan layang sudirman thamrin kerja dinas kait,8
informasi wilayah tugu utara koja jalan rusak berlobang perhati bahaya jalan,8
wanti tinggal kembang komplek tinggal kali pesanggrahan bahan kali alat berat giat minggu dinas,8
bis transjakarta arah harmoni lebak bulus acnya mati panas halte harmoni sore pengap kipas angin nyala perhati dinas kait,8
tolong jalan rintis merdeka timur arah penuh lubangbanyak motor jatuh termakasih,8
tanggul kali kembang jebol bulanbelum sekarag banjir lutut ketemu rapat diwalikota ketemu sekretaris nurlaela kantor kembang,8
apresiasi parkir liar granmax jalan cideng barat rumah sakit tara bom tindak instansi kait kendara,8
turun tangan langsung tangan bangun rumah jalan kayumanis no rt rw kayumanis matraman rumah bangun imb langgar garis sempadan bangun heran,8
salur air kapuk raya proyek henti macet bangun tindak oknum proyek anggar,8
terang jalan pju jalan sunter mayor gelap malam rawan celaka dll perhati perhati jalan underpass cempaka putih coca cola itc lampu merah ragunan arah cilandak diperbaikip lubang gelombang,8
laku tertib jalan raya hidup pademangan barat rw lapak lapak atur akses jalan tutup fungsi jalan menj,8
selamat siang permai koja priuk utara macet pagi sore aju saran macet parah tolong arah permai sindang jalur arah,8
jalan gunung sahari bolong utama putar seberang sheraton hotel tuju arah mangga,8
perhati hadap cengkareng timur lingkung kotor gubuk pinggir jalan bau bongkar sampah puluh jalan setapak mht aspal pajak target huni,8
warga rt ancol pademangan utara banjir tanggal januari jalan bambu milik akses jalan masuk rusak parah moga bantu kait h,8
selamat pagi basuki ahok wakil gebenur ijin adu keluh halaman adu instansi ijin imb menara telkomsel sedih bayak rumah,8
pemda kelola transjakarta atur antri tumpang halte harmoni blok m penuh padat armada jalur antri tumpang desak desa dorong kas,8
jalan lintas kereta api halte pasar enjo timur tuju pasar induk beras cipinang ujung rusak parah beton dar tambal aspal kalah truk beras tonase,8
jacky suhanda matraman jalan samping gereja arah tuju stasiun pondok jati jalan letak pot bunga got tutup beton jalan nya,8
provinsi keluh pns angkat skpd dinas taman makam karpeg ambil tarik uang rupiah rb orang oknum kepegawaia,8
syahrul saferi tukang utara rt no layan surat terang riwayat tanah tukang utara minggu,8
selamat pagi nasri warga rawamangun ruko ruko trotoar jalan layur makam kemiri masyarakat perhati trotoar fungsi masyarakat,8
selamat sore kena rel kereta api stasiun senen jalan bungur jalan patris lumumba jalan industri jam jam sibuk kereta hilir mudik halaman mekanisme manajeme,8
jalan komplek rt rusak parah perhati warga komplek pulo gebang permai bayar pbb pbb kelola hak ket,8
billy sulistio warga duri selatan jamblang duri selatan tambora rt barat bantu daerah jalan rusak parah lubang kali aspal intensit,8
daerah jalan pemuda rt rw rawamangun alir sungai butuh rumah tangga bantaran sungai rt rt mukim kumuh sewa preman da,8
eru kali sungai mal sunter,8
jalan rusak lubang timbul macet parah lokasi jalur cepat jalan rintis merdeka arah soeprapto tuju pulo gadung seberang asmi halaman berlangsu,8
selamat sore provinsi badan pegawai daerah honorer rawan curang,8
pemda tolong awas dekel dewan sungai bambu dewan kerja awas kerja assisten pns pergi sampa,8
selamat sore pramudji a katamsi manginfokan layan puskesmas kebayoran dokter ngobrol alas pasien,8
bus transjakarta koridor jurus pasar grogol unit jam bus atur utama jam jam kantor informasi fr,8
ketua rw duren sawit duren sawit jalan lingkung rumah rw bangun hujan akibat banjir wilayah salur,8
memberitahu kena parkir liar dukuh seberang halte trans trotoar jalan langsung penuh motor motor karyawan gedung kadang bahu jalan menganggu tolong dic,8
selamat sore langsung jalan tepi sungai mall season city roxy season city tuju roxy genang sungai luap genang air b,8
info kena jalan ringroad cengkareng barat salur air fungsi maksimal genang banjir hujan,8
warga memberitahukan poins square seberang carrefour lebak bulus sore dagang kaki lima jual pinggir jalan jalan macet yenny,8
selamat siang wakil warga karet tengsin rw pintu air shangrila patah air terobos wilayah kampung selokan air betis kaki dinas pu t,8
bangun rumah makan ruas jalan jalan lebar meter sisa meter kelas jalan mht wilayah maphar tamansari barat khusus jalan kebon jeruk iii iv v,8
lengkap keluh rekan rt rw saudara herman alimin jalan aspal rusak komplek pulo gebang permai timur blok a jalan pulo andalas i s jalan pulo andalas ix,8
selamt pagi ahok busway halte tani monas mash bus nya harap perhati,8
kena rumah susun rusun marunda rusun marunda rupa hak orang orang kena banjir orang tinggal muara karang h,8
itc roxymas parkir liar samping dagang kaki lima makan bahu jalan trotoar macet tolong benah,8
adu pinggir kali fajar jalan tubagus angke rumah duka jambar arah dutamas beton jaga air masuk pinggir lubang urug timbul genang air kali,8
selamat siang rw daan mogot kalideres kalideres jalan utan jati rusak macet,8
selamat siang tinjau tindak hadap lembaga musyawarah warga duga korupsi lembaga musyawarah transparan warga utama menteng,8
siang pakpak tindak lanjutin jalan berlobang daerah jembatan gantung taman kota barat,8
tolog trotoar jalan bukit duri tanjak tebet selatan tertib dagang jalan selokan jalan daerah kumuh daerah,8
jalan rusak jalan laksa angke tambora pu alas nunggu tender proyek betonisasi jalan,8
remaja bus transjakarta cepat realisasi kondisi busway layak busway hujan bocor pintu rusak susah tutup,8
siang lampu jalan mangga mati pju barat komponen kepala seksi bidang energi taman sari barat kirim selamat siang kalideres tanggap warga perhati tolong pasar pasar liar pasar jaya kedoya tertib jalan macet mati dagang jual pasar jaya kedoya pasar resmi provinsi,8
tolong tertib dagang kaki lima pintu halte transjakarta kota hambat jalan masuk,8
motor masuk jalur transjakarta polsek pancoran halte warung jati jalan buncit raya celah celah separator,8
provinsi tinjau tindak kait wajib bayar biaya administrasi surat terang rupiah gandaria utara selatan pungut biaya terse,8
provinsi tinjau tindak kait layan rawa buaya mungut biaya administrasi surat terang sktm urus kartu pintar warga,8
selamat siang vina alamat kampung gaga seman kalideres pagi suami urus surat terang kartu pintar seman administrasi alas seiklasnya oknum pakai s,8
provinsi perhati tindak kait pungut liar kayu putih pulogadung timur urus ktp kena biaya rupiah s rupiah gra,8
lubang rusak roda kendara jalan ahmad yani jalan pramuka belok kiri arah tanjung priok,8
tanggal februari antri bus transjakarta halte ratu plaza bus transjakarta gandeng tumpang masuk tugas langsung tutup pintu tumpang masu,8
lampu terang jalan pju jalan ceger raya pondok aren pondok karya tangerang selatan padam instansi kait laku perba,8
unit bus bus transjakarta rusak minggu lihat bus ankai koridor mogok bus tolong perhati awat susah masyarakat alih busway bus,8
genang air got luber mampet meter letak gereja pulo jahe jalan karet rajim widyodiningrat jatinegara cakung timur chaerudin,8
selamat pagi salam sejahtera warga rt rw cipinang utara jatinegara jalan mht dilinkungan rw lubang perhati,8
masyarakat indikasi bakar akibat arus pendek listrik curi listrik negara usul laku inspeksi dada rumah rumah warga b,8
warga jalan kebon jeruk rt rw taman sari taman sari barat informasi jalan rumah rusak lubang jalan belah,8
warga kampung gusti teluk gong utara memberitahukan jalan kampung gusti tindak merapihkan jalan gorong gorong selesai tinggal borong ber,8
selamat siang perhati air pam palyja minggu jalan daerah angke jaya angke tambora barat tanggap sebel,8
selamat siang gubernur fauzi bowo bus transjakarta orang perempuan orang emis pakai pakai tidur blus celana pendek muat perut hamil ter,8
kena salur air bongkar selesai alamat jalan kramat jaya lagoa koja utara jalan selesai melampi,8
jalan kramat ganceng lokasi samping makam hujan air alir mukim salur air perhati instansi wenang urus,8
selamat siang warga kampung gusti teluk gong utara memberitahukan jalan kampung gusti tindak merapihkan jalan gorong gorong selesai tinggal,8
setia armada bus transjakarta kampung melayu pulogebang lihat awak bus transjakarta tumpang tugas pulang tugas ambil duduk,8
ditindaklanjuti lampu terang jalan poltangan rt rw pejaten timur pasar minggu padam halaman menganggu jalan warga,8
plumpang bus korsleting bakar semanggi bus api blu awat bus minim mesin awat kondisi bus jarang bersih ac mati,8
bagus pasar rebo timur metro mini kopaja ukur transjakarta pintu belah kanan pintu rendah belah kiri henti sembarang mudah,8
layan bus transjakarta buruksaya orang karyawan swasta kerja tanjung priok pagi bus transjakarta koridor jurus pgc t priok rumah ja,8
kerja salur air sekolah tuntas ganggu aktifitas ajar lokasi jalan kalibaru timur v bungur senen pusat moga tuntas bantu terimakasi,8
dr pasar mobil mayor rel ka jalan industri liat salah,8
gunawan alir listrik jalan musholah tegal alur kalideres padam kali padam sms,8
kena tanggul muara angke pintu air jebol titik air tanggul pluit kara,8
warga inforamsi kena jalan raya rusak jalan gunung sahari sat tindak dinas kait,8
stasiun kalibata lantai bongkar lantai tanah benah stasiun manggarai ribu orang taruh nyawa rang rel rel bangun sarana aman p,8
truk parkir sembarang truk truk jenis tronton parkir jalan outer ring road ruko galaxy rumah taman palem lestari cengkareng barat jalur,8
